JURISDICTIONCODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
031,Billerica,2011,"54,632,512",0,"8,764,315","23,945,533","6,098,792","93,441,152",58.47,41.53
031,Billerica,2012,"56,072,379",0,"8,526,006","25,003,809","7,094,804","96,696,998",57.99,42.01
031,Billerica,2013,"57,336,408",0,"8,834,081","25,723,702","7,378,095","99,272,286",57.76,42.24
031,Billerica,2014,"58,750,369",0,"9,268,228","26,900,844","8,523,911","103,443,352",56.79,43.21
031,Billerica,2015,"58,928,574",0,"9,788,642","26,917,855","8,619,421","104,254,492",56.52,43.48
031,Billerica,2016,"61,020,382",0,"10,590,869","28,739,218","9,413,452","109,763,921",55.59,44.41
032,Blackstone,2009,"9,842,977",0,"322,988","394,353","2,034,502","12,594,820",78.15,21.85
032,Blackstone,2010,"10,564,833",0,"345,932","424,699","2,078,189","13,413,653",78.76,21.24
032,Blackstone,2011,"10,754,001",0,"357,287","434,939","2,142,135","13,688,362",78.56,21.44
032,Blackstone,2012,"11,058,459",0,"376,709","436,102","2,183,037","14,054,307",78.68,21.32
032,Blackstone,2013,"11,546,198",0,"406,873","452,117","2,257,587","14,662,775",78.74,21.26
032,Blackstone,2014,"11,990,693",0,"495,665","456,881","2,267,466","15,210,705",78.83,21.17
032,Blackstone,2015,"12,573,111",0,"519,841","462,982","2,319,340","15,875,274",79.20,20.80
032,Blackstone,2016,"13,115,276",0,"519,868","480,590","2,372,597","16,488,331",79.54,20.46
033,Blandford,2009,"1,817,450",0,"82,078","4,929","153,376","2,057,833",88.32,11.68
033,Blandford,2010,"1,872,572",0,"87,679","5,100","176,443","2,141,794",87.43,12.57
033,Blandford,2011,"1,921,897",0,"88,418","6,706","204,835","2,221,856",86.50,13.50
033,Blandford,2012,"1,952,295",0,"93,340","6,952","223,758","2,276,345",85.76,14.24
033,Blandford,2013,"2,027,325",0,"86,006","7,145","300,404","2,420,880",83.74,16.26
033,Blandford,2014,"2,090,664",0,"98,008","7,286","335,065","2,531,023",82.60,17.40
033,Blandford,2015,"2,113,980",0,"99,081","7,353","339,993","2,560,407",82.56,17.44
033,Blandford,2016,"2,256,888",0,"102,431","7,716","453,986","2,821,021",80,20
034,Bolton,2009,"13,658,207",0,"765,477","258,467","781,538","15,463,689",88.32,11.68
034,Bolton,2010,"14,819,269",0,"805,262","230,540","549,064","16,404,135",90.34,9.66
034,Bolton,2011,"15,501,159",0,"801,861","236,745","513,619","17,053,384",90.90,9.10
034,Bolton,2012,"15,961,585",0,"798,107","225,454","428,695","17,413,841",91.66,8.34
034,Bolton,2013,"16,569,220",0,"814,245","234,964","401,813","18,020,242",91.95,8.05
034,Bolton,2014,"17,063,131",0,"859,996","240,747","358,303","18,522,177",92.12,7.88
034,Bolton,2015,"17,374,867",0,"829,744","235,177","417,066","18,856,854",92.14,7.86
034,Bolton,2016,"18,057,979",0,"838,329","236,735","409,589","19,542,632",92.40,7.60
035,Boston,2009,"507,499,054",0,"764,453,531","21,950,465","106,111,340","1,400,014,390",36.25,63.75
035,Boston,2010,"554,938,764",0,"761,864,723","23,474,080","124,780,341","1,465,057,908",37.88,62.12
